Nama_Kota,Curah_Hujan_(mm),Produksi_Padi_2021,Produksi_Padi_2022,Produksi_Padi_2023
Kota Batu,0.64,"5750,19","6762,57","4862,81"
Kota Blitar,0.01,"247366,27","215482,79","240224,41"
Kota Blitar,0.01,"5793,3","5212,13","5636,68"
Kota Kediri,0.01,"198222,01","168853,55","183533,76"
Kota Kediri,0.01,"9534,86","10197,5","8271,57"
Kota Madiun,0.01,"461798,12","401573,69","437593,08"
Kota Madiun,0.01,"13505,81","11453,92","12169,62"
Kota Malang,0.12,"273358,61","271606,78","279365,91"
Kota Malang,0.12,"11311,4","10771,15","10318,57"
Kota Mojokerto,0.23,"297042,32","281829,41","302890,75"
Kota Mojokerto,0.23,"4414,93","5032,96","3292,78"
Kota Pasuruan,0.01,"264950,78","247255,72","260061,94"
Kota Pasuruan,0.01,"8304,59","7293,69","8020,03"
Kota Probolinggo,0.0,"190180,14","185412,51","201044,34"
Kota Probolinggo,0.0,"8924,08","8103,92","7502,06"
Kota Surabaya,0.01,"9832,67","8117,31","8068,88"
Kabupaten Bangkalan,4.04,"195323,29","198122,71","186257,96"
Kabupaten Banyuwangi,1.6,"513490,07","462205,98","454768,46"
Kabupaten Blitar,0.07,"247366,27","215482,79","240224,41"
Kabupaten Blitar,0.07,"5793,3","5212,13","5636,68"
Kabupaten Bojonegoro,0.13,674002,"704288,94","705962,63"
Kabupaten Bondowoso,3.51,"258951,46","238677,65","247778,74"
Kabupaten Gresik,3.6,"379666,19","411242,2","417428,58"
Kabupaten Jember,2.21,"615697,87","607371,19","616725,77"
Kabupaten Jombang,1.16,"326826,64","337172,14","346873,45"
Kabupaten Kediri,0.22,"198222,01","168853,55","183533,76"
Kabupaten Kediri,0.22,"9534,86","10197,5","8271,57"
Kabupaten Lamongan,3.6,"792662,09","903882,29","798704,85"
Kabupaten Lumajang,0.5,"295075,52","300829,01","308646,08"
Kabupaten Madiun,0.96,"461798,12","401573,69","437593,08"
Kabupaten Madiun,0.96,"13505,81","11453,92","12169,62"
Kabupaten Magetan,0.96,"307279,68","266699,89","280592,09"
Kabupaten Malang,0.38,"273358,61","271606,78","279365,91"
Kabupaten Malang,0.38,"11311,4","10771,15","10318,57"
Kabupaten Mojokerto,2.96,"297042,32","281829,41","302890,75"
Kabupaten Mojokerto,2.96,"4414,93","5032,96","3292,78"
Kabupaten Nganjuk,0.79,"429311,01","376476,43","418096,11"
Kabupaten Ngawi,0.96,"786475,65","755938,95","771251,37"
Kabupaten Pacitan,0.2,"88116,57","90428,21","92992,64"
Kabupaten Pamekasan,1.12,"96723,97","107648,71","108483,14"
Kabupaten Pasuruan,2.02,"264950,78","247255,72","260061,94"
Kabupaten Pasuruan,2.02,"8304,59","7293,69","8020,03"
Kabupaten Ponorogo,1.15,"404665,04","359413,77","392994,08"
Kabupaten Probolinggo,0.65,"190180,14","185412,51","201044,34"
Kabupaten Probolinggo,0.65,"8924,08","8103,92","7502,06"
Kabupaten Sampang,1.71,"195600,69","172494,38","167191,35"
Kabupaten Sidoarjo,0.87,"202501,4","194540,45","195855,35"
Kabupaten Situbondo,3.18,"151157,12",141628,"157273,25"
Kabupaten Sumenep,0.52,"221979,41","230581,31","217810,48"
Kabupaten Trenggalek,0.36,"116456,34","115758,01","114874,53"
Kabupaten Tuban,0.13,"489418,62","498938,59","501741,12"
Kabupaten Tulungagung,0.36,"237916,96","207217,26","235502,11"
Kota Batu,1.87,"5750,19","6762,57","4862,81"
Kota Blitar,0.07,"247366,27","215482,79","240224,41"
Kota Blitar,0.07,"5793,3","5212,13","5636,68"
Kota Kediri,0.22,"198222,01","168853,55","183533,76"
Kota Kediri,0.22,"9534,86","10197,5","8271,57"
Kota Madiun,0.96,"461798,12","401573,69","437593,08"
Kota Madiun,0.96,"13505,81","11453,92","12169,62"
Kota Malang,1.65,"273358,61","271606,78","279365,91"
Kota Malang,1.65,"11311,4","10771,15","10318,57"
Kota Mojokerto,2.96,"297042,32","281829,41","302890,75"
Kota Mojokerto,2.96,"4414,93","5032,96","3292,78"
Kota Pasuruan,2.02,"264950,78","247255,72","260061,94"
Kota Pasuruan,2.02,"8304,59","7293,69","8020,03"
Kota Probolinggo,0.65,"190180,14","185412,51","201044,34"
Kota Probolinggo,0.65,"8924,08","8103,92","7502,06"
Kota Surabaya,0.87,"9832,67","8117,31","8068,88"
